Título;Subtítulo;Autor;Editor;Encuadernación;Fecha de compra;Precio de compra;Editorial;Edición;Año del copyright;Año de publicación;ISBN#;LCCN#;Páginas;Traductor;Idioma;Género;Palabras clave;Serie;Número en la serie;Condición;Firmado;Leído;Regalo;Prestado;Clasificación;Carátula frontal;Sinopsis;Comentarios;ID;Fecha de creación;Fecha de modificación;País Autor;Estante
Ser una Diosa;Una Mujer Divina en La Tierra;Coler, Ricardo;;Tapa blanda;;;Planeta;1;2006;2006;978-950-491601-7;;216;;Castellano;Narrativa;"No Ficción; India; Mujer";;;;;;;;;5b7d8837194f48adfa21b4f9bd182ad8.jpeg;"Es una Diosa viva, la única de todo el planeta. La adoran millones de fieles, la validan los sacerdotes y es pródiga en milagros. Pero ¿qué significa para una mujer ser una Diosa? ¿Quiénes la adoran? ¿Cómo vive cuando deja de serlo?<br/><br/>Ricardo Coler viajó a Katmandú, en Nepal, un reino como los de antes, y entrevistó a la Diosa. A medida que transcurre la investigación, el autor es consciente de que está ubicado en el mismo lugar que ocuparon los personajes biblicos, los que se comunicaban con Dios cuando todavia visitaba la Tierra.<br/><br/>También conoció a las mujeres que alguna vez fueron diosas y que luego dejaron de serlo; cómo cada una de ellas, a su debido momento, debió ganar su lugar luego de una durísima contienda entre decenas de aspirantes. Ver cómo viven, hablar con ellas en la intimidad fue revelador.";;78;2023-10-18;2024-04-14;Argentina;D7
El Proceso;;Kafka, Franz;;Tapa blanda;;;Centro Editor de Cultura;1;2014;2014;978-987-126951-8;;224;Izquierdo, Julio;Castellano;Narrativa;"Ficción; Checa";;;;;true;;;;e5f76440086a6eda198119cc050935f6.jpeg;"&quot;El  proceso&quot; narra la historia de un hombre, Joseph K., detenido el día de  su 30 cumpleaños bajo una acusación que ignora. Es más, ni sus captores  ni su abogado, ni siquiera los jueces que llevan su caso, conocen cuál  es la causa. K. se convierte desde ese mismo instante en objeto de una  maraña legal y jurídica que nadie parece controlar realmente, pero que  todos respetan y a la que todos se someten.<br/> Todos excepto K., incapaz de aceptar un sistema carente de toda lógica.  Su rebeldía, sus intentos de solucionar su situación por medio de  acciones coherentes a pesar de que contradigan las instrucciones que  recibe de los demás, se convertirán en su mayor adversario en un combate  que puede acabar con su encarcelamiento o su ejecución.<br/> <br/>";;79;2023-10-18;2023-10-18;Alemania;
Cecil;;Láinez, Manuel Mujica;;;;;Debolsillo;2;1962;2012;978-987-566604-7;;216;;Castellano;Narrativa;"Argentina; Autobiográfico";;;;;true;;;;300c53f7de5336e9ecf18e074330bc9f.jpeg;"El propio Manuel Mujica Lainez ha definido a Cecil como su ""autobiografía novelesca"". Un perro, Cecil, su compañero inseparable, narra con mágica lucidez la vida del novelista en la serranía de Córdoba, y en torno suyo gira una ronda pintoresca y plástica, en la cual los espectros se mezclan con los humanos y con los seres de la imaginación, dando como resultado este libro excepcional.<br/><br/>MANUEL MUJICA LAINEZ nació en Buenos Aires en 1910 y murió en 1984. Escribió más de veinte libros entre los que. cabe mencionar: Misteriosa Buenos Aires, Los ídolos, La casa, Invitados en el paraíso, Bomarzo, El unicornio, El viaje de los siete demonios, El brazalete, Aquí vivieron y El escarabajo. Varias novelas y cuentos suyos fueron llevados al cine y a la televisión, y el compositor Alberto Ginastera realizó una ópera, hoy legen- daria, basada en la novela Bomarzo.";;80;2023-10-18;2023-10-18;Argentina;
Leer a McLuhan, Hoy;;"Trilnick, Carlos; Speziale, Anabella";;Tapa blanda;;;FEDUN;;2014;2014;978-987-364002-5;;136;;Castellano;Ensayo;"Comunicación; TIC; Filosofía";;;;;;;;;3a73adec1ac1330625067e656de732ab.jpeg;"Leer a McLuhan, hoy es el fruto de una Jornada realizada en la Facultad de Arquitectura,<br/><br/>Diseño y Urbanismo de la UBA, para conmemorar el centenario del nacimiento de Marshall McLuhan. La convocatoria reunió a distintos investigadores y académicos con el objetivo de revisar los conceptos más destacados del autor y, a partir de ellos, debatir sobre el complejo escenario de los medios de comunicación, sobre todo de los audiovisuales.<br/><br/>La edición de este libro coincide con el cincuenta aniversario de la primera publicación de la obra clave de McLuhan Comprender los medios de comunicación. Las extensiones del ser humano Algunas de sus frases, como ""el medio es el mensaje"" o ""la aldea global"", ya forman parte indiscutida de nuestras expresiones cotidianas McLuhan nos ha revelado como los medios de cada tiempo han estructurado y moldeado los ámbitos de la vida social y privada. Son ellos los que van a influir en la percepción, la sensibilidad y la comprensión de su mundo contemporáneo. Para McLuhan, la tarea de los artistas, y en extensión la de los diseñadores, es clave para advertir sobre las transformaciones de sus sociedades. Su obra contribuye a despertar la atención sobre los efectos que el contexto mediático tiene sobre ellas: ""El arte es un sistema de alerta temprano en el que podemos confiar para que le diga a la vieja cultura lo que está comenzando a ocurrir"". Por ello, es pertinente volver a leer sus teorias, en ámbitos académicos vinculados al arte, al diseño y la comunicación, a la par de la voragine de los cambios tecnológicos que se están produciendo en esta segunda década del siglo XXI.<br/><br/>La lectura, o relectura, de los textos de McLuhan siguen generando polémicas y discusiones que hacen que sus enunciados estén vigentes hoy para desarrollar nuevas ideas e hipótesis que ayuden a pensar, y repensar, el mundo social actual donde los medios juegan un papel fundamental en la vida cotidiana, la política, la economia, los imaginarios culturales, la vida afectiva, la identidad.";;81;2023-10-18;2023-10-18;Argentina;
El Perfume;Historia de un Asesino;Süskind, Patrick;;Tapa dura;;;RBA Editores S.A.;;;2006;84-32-21745-X;;308;Barral, Seix;Castellano;Narrativa;Ficción;;;;;true;;;4;98fa17dfc2b5846fc6d5a9036891cbcd.jpeg;"Grenouille un personaje que fluctúa entre el horror y la belleza nace en el Paris del siglo XVlll; una época convulsa y oscura. Viene a la vida en un pestilente mercado de pescados. Parecía que su destino era morir, pero su llanto alerta a la gente del mercado y se salva milagrosamente; su madre en cambio es conducida al cadalso. El niño es entregado a un orfanato, allí crece en medio del desprecio de los demás infantes. Sobrevive gracias a un don especial: su gran capacidad olfativa, es capaz de percibir el más tenue olor a kilómetros de distancia; pero paradójicamente carece de olor, circunstancia que lo hace sentir inhumano, y lo conduce a un destino siniestro. Después de arduos trabajos que conducían a la mayoría a la muerte, sobrevive para entregarse a la elaboración de los más finos perfumes. Más de veinte jovencitas son asesinadas, los crímenes tienen un denominador común, todas las muchachas eran vírgenes y les habían cortado el cabello. Nadie sospecha que el autor de los ...";;82;2023-10-18;2023-10-18;Alemania;
El Pasado Del Cielo;;Luis, Mey;;Tapa blanda;;;Seix Barral;1;2015;2015;978-950-731846-7;;288;;Castellano;Narrativa;Novela;;;;;true;;;;f17f58bc1b0d97a2688262b51e1cc0b8.jpeg;<p>“Lo único que recuperaba las cosas del pasado era la luz, y solamente en espacios tan abiertos como galaxias. Que es lo mismo que decir que una estrella sigue viva después de muerta apenas por la luz que queda viajando por el cosmos. ¿Podía un auto lograr ese efecto?”</p> <p>El día del primer aniversario de la muerte de su padre Nicolás se muda. Deja la casa donde pasó infancia y adolescencia, y parte al centro de la ciudad a continuar sus estudios de astronomía.</p> <p>Atrás queda su madre pero también el barrio, los amigos, los vecinos, la novia. Y el Chevy, ese auto que su padre compró a comienzos de los años 80 y que cifraba para él toda la libertad a la que podía aspirar un chico de clase media suburbana. Mientras prueba una vida de independencia y rastrea estrellas con el telescopio, Nicolás tiene una única obsesión: dar con el paradero del Chevy. Cuando decide volver a buscarlo, no imagina que en la casa familiar, entre papeles abandonados, lo espera un hallazgo muy distinto, que de algún modo pondrá fin a su adolescencia.</p> <p>Cautivadora novela de aprendizaje, suerte de tratado de mitología barrial, <i>El pasado del cielo</i> es una constelación de historias íntimas que traman una historia colectiva. Entre la nostalgia y la crudeza, la escritura de Luis Mey se sostiene en una emoción risueña, cercana a los personajes y a los temas que los mueven: el amor, la amistad, el paso del tiempo y el dolor de las pérdidas.</p>;;83;2023-10-18;2023-10-18;Argentina;
Templanza, La;;Dueñas, María;;Tapa blanda;;;Planeta;1;2015;2015;978-950-494393-8;;544;;Castellano;Narrativa;"Histórica; Europa";;;;;true;;;;10432cd10a5533a2c7b5f035af8bc423.jpeg;"Nada hacía suponer a Mauro Larrea que la fortuna que levantó tras años de tesón y arrojo se le derrumbaría con un estrepitoso revés. Ahogado por las deudas y la incertidumbre, apuesta sus últimos recursos e n una temeraria jugada que abre ante él la oportunidad de resurgir. Hasta que la perturbadora Soledad Montalvo, esposa de un marchante de vinos londinense, entra en su vida envuelta en claroscuros para arrastrarle a un porvenir que jamás sospechó. De la joven república mexicana a la espléndida Habana colonial; de las Antillas al Jerez de la segunda mitad del XIX, cuando el comercio de sus vinos con Inglaterra convirtió la ciudad andaluza en un enclave cosmopolita y legendario. Por todos estos escenarios transita La Templanza, una novela que habla de glorias y derrotas, de minas de plata, intrigas de familia, viñas, bodegas y ciudades soberbias cuyo esplendor se desvaneció en el tiempo. Una historia de coraje ante las adversidades y de un destino alterado para siempre por la fuerza de una pasión.";;84;2023-10-18;2023-10-18;España;
Dos Chicas de Shanghai / Shanghai Girls;;See, Lisa;;Tapa blanda;2013-01-01;;Salamandra;3;2009;2011;978-84-98-38305-8;;352;;Castellano;Narrativa;"Ficción; Histórica; China";;;;;true;;;;9faffe758947c397962f44b91e9d9e43.jpeg;<b>Esta historia nos abre una nueva ventana a un mundo asombroso. Cuajada de detalles históricos y maravillosos personajes, <i>Dos chicas de Shanghai</i> es una novela sobre la complejidad de los sentimientos que anidan en el seno de la familia y marcan el destino de las personas.</b><br/><br/>Hacia el año 1937, Shanghai está considerada el París del continente asiático. En la sofisticada y opulenta ciudad, donde conviven mendigos, millonarios, gángsters, jugadores y artistas, la vida sonríe a las hermanas Pearl y May Chin, hijas de un acaudalado hombre de negocios.<br/><br/>De temperamentos casi opuestos, las dos son hermosas y jóvenes y, pese a haber sido criadas en el seno de una familia de valores tradicionales, viven con la sola preocupación de asimilar lo que llega de Occidente. Visten a la última moda y posan para los artistas publicitarios, que ven en el retrato de las hermanas la proyección de los sueños de prosperidad de todo un país. Pero cuando la fortuna familiar sufre un golpe irreversible, el futuro de Pearl y May se tiñe de precariedad e incertidumbre.<br/><br/>Con los bombardeos japoneses a las puertas de la ciudad, las hermanas iniciarán un largo viaje que las llevará a California, donde su estrecha relación se pondrá a prueba. Sin embargo, a pesar de los celos y la rivalidad, ambas lucharán por permanecer unidas, a la vez que intentarán hallar fuerzas para salir adelante en unas más que difíciles circunstancias.<br/><br/><b>La crítica ha dicho...</b><br/><br/>«Evocadora, mágica, y absolutamente imposible de olvidar.» -<i>The Boston Globe<br/></i><br/>«Un triunfo en todos los niveles, una historia hermosa y conmovedora.» -<i>The Washington Post Book Review<br/></i><br/>«Una historia arrolladora [...] repleta de meticuloso y complejo detalle.» -<i>The New York Times<br/></i><br/>«Fascinante, una sugerente reflexión sobre lo que significa ser humanos.» -<i>People<br/></i><br/>«El impecable argumento y los personajes, ricamente dibujados, arrastran al lector de inmediato a lo largo de veinte años de amor, pérdida, desengaños y alegrías.» -Publishers Weekly<br/><br/>«Este libro de colores intensos explora, sobre todo, las dificultades y recompensas de la solidaridad entre hermanas.» -<i>Daily Mail<br/><br/></i><b>DESCRIPTION IN ENGLISH</b><br/><br/><b><i>NEW YORK TIMES</i> BESTSELLER • “A gifted writer . . . explores the bonds of sisterhood while powerfully evoking the often nightmarish American immigrant experience.”—</b><i><b>USA Today</b><br/></i><br/>In 1937, Shanghai is the Paris of Asia, a city of great wealth and glamour, the home of millionaires and beggars, gangsters and gamblers, patriots and revolutionaries, artists and warlords. Thanks to the financial security and material comforts provided by their father’s prosperous rickshaw business, twenty-one-year-old Pearl Chin and her younger sister, May, are having the time of their lives. Though both sisters wave off authority and tradition, they couldn’t be more different: Pearl is a Dragon sign, strong and stubborn, while May is a true Sheep, adorable and placid. Both are beautiful, modern, and carefree . . . until the day their father tells them that he has gambled away their wealth and that in order to repay his debts he must sell the girls as wives to suitors who have traveled from California to find Chinese brides.<br/><br/>As Japanese bombs fall on their beloved city, Pearl and May set out on the journey of a lifetime, one that will take them through the Chinese countryside, in and out of the clutch of brutal soldiers, and across the Pacific to the shores of America. In Los Angeles they begin a fresh chapter, trying to find love with the strangers they have married, brushing against the seduction of Hollywood, and striving to embrace American life even as they fight against discrimination, brave Communist witch hunts, and find themselves hemmed in by Chinatown’s old ways and rules.<br/><br/>At its heart, <i>Shanghai Girls</i> is a story of sisters: Pearl and May are inseparable best friends who share hopes, dreams, and a deep connection, but like sisters everywhere they also harbor petty jealousies and rivalries. They love each other, but each knows exactly where to drive the knife to hurt the other the most. Along the way they face terrible sacrifices, make impossible choices, and confront a devastating, life-changing secret, but through it all the two heroines of this astounding new novel hold fast to who they are: Shanghai girls.;;85;2023-10-18;2024-04-14;Francia;D7
El Abanico de Seda;;See, Lisa;;;;;Salamandra;1;2006;2012;978-84-98-38052-1;;320;;Castellano;Narrativa;"Ficción; Mujer; Histórica; China";;;;;true;;;;a910468d48d117338a3958ae48ce0727.jpeg;<p><b>Esta novela es una ventana a un mundo asombroso, lejano y desconocido, un retrato vivo de la vida de unas mujeres extraordinarias que dejará en el lector una impresión difícil de olvidar.</b></p> <p>En una remota provincia de China, las mujeres crearon hace siglos un lenguaje secreto para comunicarse libremente entre sí: el <i>nu shu</i>. Aisladas en sus casas y sometidas a la férrea autoridad masculina, el <i>nu shu</i> era su única vía de escape. Mediante sus mensajes, escritos o bordados en telas, abanicos y otros objetos, daban testimonio de un mundo tan sofisticado como implacable.</p><p>El año 2002, la autora de esta novela viajó a la provincia de Huan, cuna de esta milenaria escritura fonética, para estudiarla en profundidad. Su prolongada estancia le permitió recoger testimonios de mujeres que la conocían, así como de la última hablante de <i>nu shu</i>, la nonagenaria Yang Huanyi. A partir de aquellas investigaciones, Lisa See concibió esta conmovedora historia sobre la amistad entre dos mujeres, Lirio Blanco y Flor de Nieve.</p><p>Como prueba de su buena estrella, la pequeña Lirio Blanco, hija de una humilde familia de campesinos, será hermanada con Flor de Nieve, de muy diferente ascendencia social. En una ceremonia ancestral, ambas se convierten en laotong -«mi otro yo» o «alma gemela»-, un vínculo que perdurará toda la vida. Así pues, a lo largo de los años, Lirio Blanco y Flor de Nieve se comunicarán gracias a ese lenguaje secreto, compartiendo sus más íntimos pensamientos y emociones, y consolándose de las penalidades del matrimonio y la maternidad. El <i>nu shu</i> las mantendrá unidas, hasta que un error de interpretación amenazará con truncar su profunda amistad.</p>;;86;2023-10-18;2024-04-14;Francia;D7
Las Flores Del Almendro;;Walter, Horacio Agustín;;Tapa blanda;;;El Escriba;1;2014;2014;978-987-605439-3;;266;;Castellano;Narrativa;"Alemania; Volgas; Rusia; Argentina";;;;;;;true;;9afea8ed649e76fef9bd323d1c3d2d87.jpeg;"El esfuerzo de Gaspar por la investigación de sus raíces familiares le permitió hurgar en las historias que conformaron la gran epopeya de aquellos germanos que, emigrando desde las regiones de la actual Alemania llegaron hasta las riberas del Rio Wolga y cien años después, volvieron a hacerlo para establecerse en las llanuras pampeanas o junto a los ríos de la mesopotamia. Sin embargo, no descansó hasta encontrarse con aquellas ramas de la familia Haas que no pudo ubicar en su genealogia argentina. Su búsqueda se amplió no sólo a recuperar datos y registros familiares sino a conocer sus historias y sus vivencias, Atravesar las fronteras e ingresar en las tierras de los alemanes en Rusia, le permitió encontrarse con los momentos cruciales que les ha tocado vivir, especialmente a aquellas familias que no quisieron o no pudieron migrar hacia América<br/><br/>Como una colorida Matrioska irá desplegando una historia dentro de la otra durante los años transcurridos desde que sus antepasados en Rusia despidieron a los primeros colonos que viajaron a la Argentina.<br/><br/>En oportunidad de leer ""Los Senderos del Wolga' dije que el libro de Horacio Agustín Walter, nos permitiría revivir la esforzada y silenciosa historia de un pueblo que acumuló dolor, trabajo, sueños, esperanzas y la profunda memoria de las raíces de nuestra identidad. Ante la lectura de su nueva obra diría que ha hecho visible a ese pueblo volguense y lo ha integrado al conjunto de la humanidad.<br/><br/>La civilización ha dado claras muestras de la ""sed de poder y gloria"" del hombre que culmina con el exterminio de su propia especie. Se lo ha llamado holocausto, limpieza étnica ó genocidio. Sólo cumple el objetivo, de un poder brutal y la satisfacción de una de las miserias humanas más aberrantes. Por suerte, los muchos Kaspar o Gaspar o, simplemente, el hombre universal, continúan trasladando ""almendros"" como símbolos de Paz y Esperanza. Esa cuota de amor y respeto hacia sí mismo, hacia los ancestros y herederos de esta historia, llevada a cabo al principio por los inmigrantes germanos, luego alemanes de Rusia y, hoy, sus descendientes, ratifica la irradiación de su identidad a lo largo y ancho de la República Argentina.<br/><br/>Haber recorrido ""los Senderos del Wolga'y ahora, deleitarme con ""Las flores del almendro me permite completar justamente esta historia que nace con el dolor y culmina en la esperanza. Juan Carlos Scheigel Huck, Presidente del Centro Argentino Cultural Wolgadeutsche";prestado de Tela;87;2023-10-25;2023-10-25;Argentina;
Los Burgueses;;Bullrich, Silvina;;Tapa blanda;;;Editorial Sudamericana;6;1964;965;;;133;;Castellano;Narrativa;"Ficción; Burguesía; Buenos Aires; Época; Sociedad";;;Usado;;;true;;;bbba41ee6ba078c405115a9ac59a7e11.jpeg;"En esta obra de singular estructura novelesca, donde los pensamientos y las conversaciones de los distintos personajes parecen fluir en un monólogo único, la autora de Bodas de cristal y Un momento muy largo traza todo un cuadro excepcionalmente animado de cierto sector social argentino, Los burgueses no son aquí la clase media, sino los aristocratas del dinero, las familias en decadencia, gentes extraviadas en un mundo complejo y contra dictorio donde sus vidas parecen carecer de significación. Silvina Bullrich describe con pasión, inteligencia e ironía el secreto interior de ese mundo, su estructura más intima y descarnada, en un relato dinámico que va apre surándose de algún modo, animándose a si mismo hasta adquirir la atracción vertiginosa de un torbellino poco antes de las últimas páginas. En unas pocas horas los ""burgueses"" viven un drama sin resolución posible, encerrados en sí mismos, en sus frustraciones o en los recuerdos de un pasado que no podrá repetirse. Los burgueses son en verdad una vivisección implacable, dura, dramática de un mundo que se derrumba poco a poco, calladamente, en las sombras, de una sociedad deshecha que no quiere reconocer su propis ruina. Escrita a veces a media voz, en un tono sereno, en un estilo indirecto: otras con exaltación en párrafos de fulgurante penetración psicológica. Las burgueses es probablemente la obra más ambiciosa y dificil de Silvios Bullrich y acaso también la de mayor significación e importancia literarios";;88;2023-12-17;2023-12-17;Argentina;
Indias Blancas;;Bonelli, Florencia;;Tapa blanda;;;Penguin Random House Grupo Editorial Argentina;5;2010;2018;978-987-042851-0;;480;;Castellano;Narrativa;"Novela histórica; Argentina; Pueblos Originarios";;1;;;true;;true;3;ec6fc24e1ec22f183c5f367556b7d32b.jpeg;EL AMOR PROHIBIDO ENTRE UNA JOVEN PORTENA Y UN INDIO RANQUEL.<br/><br/>Corre el año 1873 y la sociedad porteña se consolida alrededor de las familias con apellidos ilustres. Laura Escalante, hija de un general de la nación, es una bellisima joven con ideas claras y fuertes convicciones. Cuando viaja a Córdoba para atender a su hermano enfermo, conoce al indio ranquel Nahueltruz Guor y su vida cambia para siempre. Un amor irrefrenable, enfrentado a todos y a todo, incluso a ellos mismos, los hace transitar momentos dolorosos, llenos de aventuras, desencuentros y acción, en el marco de la épica lucha entre indios y blancos que ha definido nuestro país desde entonces;Prestado por Tela;89;2023-12-31;2023-12-31;Argentina;
Indias Blancas;Vuelta Del Ranquel, La;Bonelli, Florencia;;Tapa blanda;;2400;Alfaguara;6;2012;2016;978-987-578182-5;;592;;Castellano;Narrativa;"Novela histórica; Argentina; Pueblos Originarios";;2;Usado;;true;;;4;88ae22343c9b5302056ec8102b9d288e.jpeg;En 1879, Buenos Aires vive su hora más convulsionada. Roca prepara la campaña al desierto con vistas a postularse como presidente de la Nación. Laura Escalante, mujer destacada de la vida cultural y política de su ciudad, nunca ha olvidado al indio Nahueltruz Guor, el amor perdido en el sur de Córdoba. Nahueltruz Guor, convertido en el excéntrico Lorenzo Dionisio Rosas, vuelve a su tierra después de seis años para vengarse de quien lo traicionó y le rompió el corazón. El encuentro los trastornará a los dos. Nunca volverán a ser los mismos.<br/><br/>FLORENCIA BONELLI, con maestría narrativa y un profundo conocimiento de la historia argentina, ofrece en Indias blancas. La vuelta del ranquel un relato de amor apa- sionado en el cual se dirime no solo el futuro de dos personas sino el de una nación.;;90;2024-01-10;2024-01-10;Argentina;
Una Excursión a Los Indios Ranqueles;Tomo I;Mansilla, Lucio Victorio;;Tapa dura;;;Jackson;1;1953;1953;;;445;;Castellano;Narrativa;"Biografía; Autobiografía; Cultural; Etnica; Argentina; Histórica";Grandes escritores argentinos;1;;;;;true;4;7e8a32efa83efbf2938a5bc90f1b291e.png;A fines de 1868 Lucio Victorio Mansilla llega a Córdoba con el cargo de comandante de fronteras. Trabaja intensamente en la provincia y, dos años después, resuelve firmar un tratado de paz con los indios ranqueles. Viaja a las tolderías de los caciques Ramón, Mariano Rosas y Baigorrita, donde permanece más de dos semanas. Su plan de pacificación es posteriormente rechazado tanto por el presidente Domingo F. Sarmiento como por el Congreso, frustrándose así una de las últimas oportunidades de establecer con los indios un sistema de convivencia razonable y de mutua comprensión y respeto. <br/>Sin embargo, su permanencia entre los ranqueles dará origen a una de las obras más fascinantes y mejor escritas de nuestra literatura: <i>Una excursión a los indios ranqueles</i>, que fue primero publicada en entregas en forma de cartas o apostillas en el diario <i>La Tribuna</i>, en las que mediante un estilo ágil, de sorprendente modernidad, el autor da una descripción veraz y objetiva de la situación de los pueblos originarios que habitaban la actual República Argentina. <br/>La rica personalidad de Mansilla, una de las más interesantes de nuestro pasado histórico y literario, se manifiesta en toda su potencia en este libro singular, que Tolemia ofrece en su versión completa.;Destacados: protocolo de  saludo, con preguntas repetidas pero dadas vueltas, se pregunta  sobre como fue el viaje, como esta, como estan sus generales, .... Rol del lenguaraz, cuanto mas largo es el saludo mejor habilidad demostrada.<br/><br/>Bienvenida de los ranqueles con demostraciones de tropillas y saludo personal a cada integrante de la tropilla,;91;2024-01-29;2024-03-02;Argentina;
Las Puertas de Anubis;;Powers, Tim;;Tapa blanda;;;Gigamesh;3;1983;2015;978-84-16-03535-9;;439;Solé, Albert;Castellano;Narrativa;"Steampunk; Viaje en el tiempo";;;Nuevo;;true;;;4;468ba25615bc523c55bc28920968d171.jpeg;La novela de viajes en el tiempo más elegante que se haya escrito<br/><br/>Una visita al pasado para resolver un enigma... y crear algunos nuevos<br/><br/>Brendan Doyle, un profesor de literatura especializado en el romanticismo ingles, es invitado a day una conferencia sobre Coleridge y a viajar al Londres de 1810 para encontrarse con él. Pero su viaje se complica de forma inesperada y acaba varado en el pasado, prisionero de una compleja red de intrigas que transforma su vida en una pesadilla,<br/><br/>Las puertas de Anubis, verdadera obra de culto de la fantasia, es una de las historias de viajes en el tiempo más elegantes jamás contadas, así como una prodigiosa novela de aventuras repleta de acción, imágenes inolvidables y continuos destellos de un finisimo sentido del humor.<br/><br/>;;92;2024-01-29;2024-01-29;Estados Unidos;
Lo Que Dios Ha Unido;;Wast, Hugo;;Tapa dura;;;Thau;1;1945;1945;;;337;;Castellano;;;;;;;;;;;4766044e711010470610c4f449a80273.jpeg;Esta obra es la prosecución de Esperar contra toda esperanza del famoso novelista Hugo Wast, reconocido por la Real Academia y por los lectores de casi todos los países. Es un drama de la vida: un hombre que cree muerta a su esposa y se entrega a la vida religiosa. Una mujer rescatada que busca a su esposo hasta encontrarlo. Una decisión tremenda para la familia.;;93;2024-02-10;2024-04-22;Argentina;
De Negros y Burgueses;;"Cucurto, Washington; Schimd, Alejandro; Ameri, Lucas; Alejandría, Anérico";;Tapa blanda;;;"Eloisa Cartonera;Cospel Ediciones";1;2008;2008;;;;;Castellano;;;;;;;;;;;56b7e48fd6d641aa796b2f5b79745b21.jpeg;;;94;2024-02-10;2024-02-10;Argentina;
Del Amor y Otros Demonios;;García Márquez, Gabriel;;Tapa blanda;1997-01-01;;Sudamericana;15;1994;1997;950-070928-7;;201;;Castellano;Narrativa;"Leyenda; Ficción";;;;;true;;;;252b5147eb3250e5a28a88a0703cbde2.jpeg;La lápida saltó en pedazos al primer golpe de la piocha, y una cabellera viva de un color de cobre intenso se derramó fuera de la cripta. El maestro de obra quiso sacarla completa con la ayuda de sus obreros, y cuanto más tiraban de ella más larga y abundante parecía, hasta que salieron las últimas hebras todavía prendidas a un cráneo de niña».<br/><br/>En el esplendor y decadencia de la América esclavista del siglo XVIII se escribió la historia de Sierva María de Todos los Ángeles, la marquesita recluida en un convento donde enfrentará el prejuicio y la ignorancia de su tiempo, los horrores de la Inquisición y de la enfermedad incurable, y el dolor inagotable del amor sin esperanza. Su leyenda desbordante de magia trascenderá los siglos para cuestionar la naturaleza de la fe, de la pasión y aun la opresión definitiva de la muerte.;;95;2024-02-10;2024-02-10;Colombia;
Romeo y Julieta;Mejor Novela de Romance;Shakespeare, William;;Tapa blanda;;;Terramar;1;2005;2005;987-118724-6;;88;;Castellano;;"Drama; Shakespeare";;;;;true;;;;54bfaa265712d7da7e3bb2f85d8ce0b8.jpeg;"Eterno s�mbolo del amor que brota incontenible contra toda fuerza opuesta, Romeo y Julieta dramatiza una leyenda popularizada en el Renacimiento por incontables relatos italianos, franceses e ingleses, en prosa y verso, pero que apenas ser�a hoy recordada si no hubiera inspirado esta primera gran pieza teatral de Shakespeare, donde resabios de la lucha feudal y destellos c�micos de sirvientes y camaradas se entremezclan magistralmente con el m�s bello canto al amor. Romeo y Julieta es una de las obras m�s populares de Shakespeare; la desgraciada historia de los amantes de Verona ha trascendido la literatura para situarse en el terreno de lo legendario y de lo m�tico. En medio de la lucha entre familias rivales, dos personajes juveniles viven un amor tan apasionado como imposible. La reconciliaci�n llegar� tarde, cuando ya se ha consumado la tragedia. La traici�n, la lealtad, el odio, los celos, la pasi�n, son algunos de los temas que William Shakespeare llev� a las tablas permitiendo a sus personajes la libertad de elegir entre los caminos posibles, para luego atenerse a las consecuencias de su proceder. Escrita en cinco actos, Romeo y Julieta expresa de modo insuperable el mito del amor rom�ntico arque t�pico en la civilizaci�n moderna.";;96;2024-02-10;2024-02-10;Inglaterra;
Hamlet, Príncipe de Dinamarca;;Shakespeare, William;;Tapa blanda;;;Terramar;;;2022;987-214025-1;;154;;Castellano;Narrativa;"Drama; Shakespeare";;;;;;;;;70a056563008dd00d33c737cbdab91f2.jpeg;;Hamlet, príncipe de Dinamarca, es tal vez la tragedia de mayor celebridad entre todas las obras de cualquier época. Su protagonista encarna el abismo que, a veces, separa al pensamiento de la acción. Inteligente, ima­g­inativo, vivaz, valiente y noble, Hamlet se tortura en su querella moral. Del monólogo íntimo pasa a par­ox­ismos verbales, enigmáticos profundos y brillantes. El príncipe Hamlet no es solamente “el hombre cuya duda insoluble cierra el paso a la acción”. Más hon­da­mente su conflicto radica en creer y no creer, a la vez, en la legitimidad de un hombre para juzgar, sentenciar y hacerse justicia por sus propias manos. La traducción de Juan Cariola L. ha logrado trasla­dar textual y poéticamente el rico lenguaje de Shakes­peare, sus ritmos de aceleraciones y retardos, su fraseo, juegos de palabras y hasta la acentuación misma de los periodos verbales.;97;2024-02-10;2024-02-10;Inglaterra;
El Diario de Adan y Eva;;Twain, Mark;;Tapa blanda;;;Terramar;;;2012;987-208743-1;;63;;Castellano;;"Ficción; Histórica";;;;;;;;;b9890e5f72de03577c879c9533196856.jpeg;Libro de dominio publico en el cual Mark Twain interpreta las conversaciones entre Adan y Eva, llevadas a cabo en el Jardin del Eden.;Libro de dominio publico en el cual Mark Twain interpreta las conversaciones entre Adan y Eva, llevadas a cabo en el Jardin del Eden.;98;2024-02-10;2024-02-10;Estados Unidos;
